id,full_name,season
1627780,Gary Payton II,2023-24
1641970,Maozinha Pereira,2023-24
1641809,Drew Peterson,2023-24
1630196,Filip Petrusev,2023-24
1641763,Julian Phillips,2023-24
1629618,Jalen Pickett,2023-24
1630590,Scotty Pippen Jr.,2023-24
203486,Mason Plumlee,2023-24
1641764,Brandin Podziemski,2023-24
1627751,Jakob Poeltl,2023-24
1630197,Aleksej Pokusevski,2023-24
1629673,Jordan Poole,2023-24
1629007,Jontay Porter,2023-24
1641854,Craig Porter Jr.,2023-24
1629008,Michael Porter Jr.,2023-24
203490,Otto Porter Jr.,2023-24
1626171,Bobby Portis,2023-24
204001,Kristaps Porzingis,2023-24
1630695,Micah Potter,2023-24
203939,Dwight Powell,2023-24
1626181,Norman Powell,2023-24
1630554,Jason Preston,2023-24
1630563,Joshua Primo,2023-24
1627752,Taurean Prince,2023-24
1630202,Payton Pritchard,2023-24
1641765,Olivier-Maxence Prosper,2023-24
1630243,Trevelin Queen,2023-24
1629674,Neemias Queta,2023-24
1630193,Immanuel Quickley,2023-24
1631311,Lester Quinones,2023-24
1630186,Jahmi'us Ramsey,2023-24
203944,Julius Randle,2023-24
1641871,Duop Reath,2023-24
1630559,Austin Reaves,2023-24
1629629,Cam Reddish,2023-24
1630194,Paul Reed,2023-24
1629675,Naz Reid,2023-24
1631197,Jared Rhoden,2023-24
1630208,Nick Richards,2023-24
1626196,Josh Richardson,2023-24
1629130,Duncan Robinson,2023-24
1629010,Jerome Robinson,2023-24
1629011,Mitchell Robinson,2023-24
1631115,Orlando Robinson,2023-24
1630526,Jeremiah Robinson-Earl,2023-24
1631223,David Roddy,2023-24
1631157,Ryan Rollins,2023-24
201565,Derrick Rose,2023-24
1626179,Terry Rozier,2023-24
1641712,Rayan Rupert,2023-24
1626156,D'Angelo Russell,2023-24
1630346,Matt Ryan,2023-24
1627734,Domantas Sabonis,2023-24
1629677,Luka Samanic,2023-24
1631257,Jermaine Samuels Jr.,2023-24
1641766,Adama Sanogo,2023-24
1630611,Gui Santos,2023-24
203967,Dario Saric,2023-24
1630846,Olivier Sarr,2023-24
1631204,Marcus Sasser,2023-24
1629678,Admiral Schofield,2023-24
203471,Dennis Schroder,2023-24
1631220,Dereon Seabron,2023-24
1630578,Alperen Sengun,2023-24
1641729,Brice Sensabaugh,2023-24
1629012,Collin Sexton,2023-24
1629013,Landry Shamet,2023-24
1630549,Day'Ron Sharpe,2023-24
1631101,Shaedon Sharpe,2023-24
1641767,Ben Sheppard,2023-24
1627783,Pascal Siakam,2023-24
1627732,Ben Simmons,2023-24
1628424,Kobi Simmons,2023-24
1629014,Anfernee Simons,2023-24
1630285,Zavier Simpson,2023-24
1630579,Jericho Sims,2023-24
1631376,Dmytro Skapintsev,2023-24
1641771,Jalen Slawson,2023-24
1630606,Javonte Smart,2023-24
203935,Marcus Smart,2023-24
1630696,Dru Smith,2023-24
202397,Ish Smith,2023-24
1630188,Jalen Smith,2023-24
1631173,Terquavion Smith,2023-24
1628372,Dennis Smith Jr.,2023-24
1631095,Jabari Smith Jr.,2023-24
1641733,Nick Smith Jr.,2023-24
1631110,Jeremy Sochan,2023-24
1630311,Pat Spencer,2023-24
1630531,Jaden Springer,2023-24
1630205,Lamar Stevens,2023-24
1630191,Isaiah Stewart,2023-24
1631124,Julian Strawther,2023-24
1629622,Max Strus,2023-24
1630591,Jalen Suggs,2023-24
1631306,Cole Swider,2023-24
1630256,Jae'Sean Tate,2023-24
1628369,Jayson Tatum,2023-24
1630678,Terry Taylor,2023-24
202066,Garrett Temple,2023-24
1631207,Dalen Terry,2023-24
1628464,Daniel Theis,2023-24
