id,full_name,season
2560,Zarko Cabarkapa,2023-24
76324,Barney Cable,2023-24
203998,Bruno Caboclo,2023-24
1629719,Devontae Cacok,2023-24
679,Jason Caffey,2023-24
262,Michael Cage,2023-24
1631288,Jamal Cain,2023-24
76326,Gerry Calabrese,2023-24
201979,Nick Calathes,2023-24
101181,Jose Calderon,2023-24
154,Adrian Caldwell,2023-24
76328,Jim Caldwell,2023-24
76329,Joe Caldwell,2023-24
203484,Kentavious Caldwell-Pope,2023-24
76331,Bill Calhoun,2023-24
76330,Corky Calhoun,2023-24
76332,Demetrius Calip,2023-24
76333,Tom Callahan,2023-24
76334,Rick Calloway,2023-24
76335,Ernie Calverley,2023-24
76336,Mack Calvin,2023-24
1641739,Toumani Camara,2023-24
76337,Dexter Cambridge,2023-24
948,Marcus Camby,2023-24
1630267,Facundo Campazzo,2023-24
922,Elden Campbell,2023-24
76338,Tony Campbell,2023-24
203477,Isaiah Canaan,2023-24
1628427,Vlatko Cancar,2023-24
1629962,Devin Cannady,2023-24
76339,Larry Cannon,2023-24
203991,Clint Capela,2023-24
202382,Derrick Caracter,2023-24
2073,Brian Cardinal,2023-24
1630176,Vernon Carey Jr.,2023-24
76340,Howie Carl,2023-24
76341,Chet Carlisle,2023-24
2367,Geno Carlisle,2023-24
76342,Rick Carlisle,2023-24
76343,Al Carlson,2023-24
76344,Don Carlson,2023-24
76345,Bob Carney,2023-24
200760,Rodney Carney,2023-24
76346,Bob Carpenter,2023-24
156,Antoine Carr,2023-24
76348,Austin Carr,2023-24
713,Chris Carr,2023-24
1757,Cory Carr,2023-24
76350,Kenny Carr,2023-24
76351,M.L. Carr,2023-24
76352,Bob Carrington,2023-24
201960,DeMarre Carroll,2023-24
76353,Joe Barry Carroll,2023-24
2679,Matt Carroll,2023-24
1131,Jimmy Carruth,2023-24
1853,Anthony Carter,2023-24
76355,Butch Carter,2023-24
76356,Fred Carter,2023-24
76357,George Carter,2023-24
76358,Howard Carter,2023-24
76359,Jake Carter,2023-24
1628975,Jevon Carter,2023-24
2466,Maurice Carter,2023-24
76360,Reggie Carter,2023-24
76361,Ron Carter,2023-24
1713,Vince Carter,2023-24
1628976,Wendell Carter Jr.,2023-24
203487,Michael Carter-Williams,2023-24
1630618,D.J. Carton,2023-24
76362,Bill Cartwright,2023-24
76363,Jay Carty,2023-24
1627936,Alex Caruso,2023-24
76364,Cornelius Cash,2023-24
208,Sam Cassell,2023-24
201956,Omri Casspi,2023-24
1630658,Colin Castleton,2023-24
76365,Harvey Catchings,2023-24
767,Terry Catledge,2023-24
76367,Sid Catlett,2023-24
1509,Kelvin Cato,2023-24
76368,Bobby Cattage,2023-24
1626161,Willie Cauley-Stein,2023-24
1628505,Troy Caupain,2023-24
190,Duane Causwell,2023-24
1628463,Tyler Cavanaugh,2023-24
76370,Ron Cavenall,2023-24
1629958,Ahmad Caver,2023-24
1630608,Malcolm Cazalon,2023-24
76,Cedric Ceballos,2023-24
1911,John Celestand,2023-24
76373,Al Cervi,2023-24
2763,Lionel Chalmers,2023-24
201596,Mario Chalmers,2023-24
76374,Bill Chamberlain,2023-24
76375,Wilt Chamberlain,2023-24
76376,Jerry Chambers,2023-24
1472,Tom Chambers,2023-24
1630577,Julian Champagnie,2023-24
1630551,Justin Champagnie,2023-24
76378,Mike Champion,2023-24
1631113,Kennedy Chandler,2023-24
2199,Tyson Chandler,2023-24
201163,Wilson Chandler,2023-24
76379,Don Chaney,2023-24
76380,John Chaney,2023-24
364,Rex Chapman,2023-24
76382,Len Chappell,2023-24
76383,Ken Charles,2023-24
76384,Lorenzo Charles,2023-24
1629147,Joe Chealey,2023-24
384,Calbert Cheaney,2023-24
1629597,Zylan Cheatham,2023-24
76385,Maurice Cheeks,2023-24
76386,Phil Chenier,2023-24
203805,Will Cherry,2023-24
76387,Derrick Chievous,2023-24
432,Pete Chilcutt,2023-24
2735,Josh Childress,2023-24
719,Randolph Childress,2023-24
164,Chris Childs,2023-24
1629185,Chris Chiozza,2023-24
76391,Leroy Chollet,2023-24
76392,Jim Chones,2023-24
1627737,Marquese Chriss,2023-24
76393,Fred Christ,2023-24
76394,Cal Christensen,2023-24
76395,Bob Christian,2023-24
57,Doug Christie,2023-24
1631108,Max Christie,2023-24
202091,Dionte Christmas,2023-24
1626176,Rakeem Christmas,2023-24
203902,Semaj Christon,2023-24
1630528,Josh Christopher,2023-24
203565,Patrick Christopher,2023-24
928,Robert Churchwell,2023-24
1631321,Sidy Cissoko,2023-24
76397,Archie Clark,2023-24
76398,Carlos Clark,2023-24
201947,Earl Clark,2023-24
1629109,Gary Clark,2023-24
203546,Ian Clark,2023-24
1641740,Jaylen Clark,2023-24
1721,Keon Clark,2023-24
1629634,Brandon Clarke,2023-24
1626262,Coty Clarke,2023-24
203903,Jordan Clarkson,2023-24
1628492,Gian Clavell,2023-24
201964,Victor Claver,2023-24
1127,Charles Claxton,2023-24
1629651,Nic Claxton,2023-24
2049,Speedy Claxton,2023-24
76402,Jim Cleamons,2023-24
2043,Mateen Cleaves,2023-24
76403,John Clemens,2023-24
1629598,Chris Clemons,2023-24
1628499,Antonius Cleveland,2023-24
76404,Nat Clifton,2023-24
76406,Bill Closs,2023-24
1569,Keith Closs,2023-24
1641730,Noah Clowney,2023-24
76407,Paul Cloyd,2023-24
76408,Marion Cluggish,2023-24
76409,Ben Clyde,2023-24
1629599,Amir Coffey,2023-24
76410,Richard Coffey,2023-24
76411,Fred Cofield,2023-24
715,John Coker,2023-24
202708,Norris Cole,2023-24
76412,Ben Coleman,2023-24
934,Derrick Coleman,2023-24
76413,E.C. Coleman,2023-24
76414,Jack Coleman,2023-24
76415,Norris Coleman,2023-24
902,Bimbo Coles,2023-24
2044,Jason Collier,2023-24
76416,Art Collins,2023-24
76418,Don Collins,2023-24
76421,Doug Collins,2023-24
1530,James Collins,2023-24
2260,Jarron Collins,2023-24
2215,Jason Collins,2023-24
76419,Jimmy Collins,2023-24
1628381,John Collins,2023-24
200776,Mardy Collins,2023-24
202395,Sherron Collins,2023-24
1628380,Zach Collins,2023-24
1627858,Kyle Collinsworth,2023-24
201954,Darren Collison,2023-24
2555,Nick Collison,2023-24
76422,Joe Colone,2023-24
1629045,Bonzie Colson,2023-24
2173,Sean Colson,2023-24
306,Steve Colter,2023-24
1628435,Chance Comanche,2023-24
76425,Leroy Combs,2023-24
76426,Dallas Comegys,2023-24
76427,Larry Comley,2023-24
76428,Gene Conley,2023-24
201144,Mike Conley,2023-24
76429,Ed Conlin,2023-24
55,Marty Conlon,2023-24
1626192,Pat Connaughton,2023-24
76431,Lester Conner,2023-24
76432,Chuck Connors,2023-24
